classification,corner_near_white,edge_near_white,edge_strict_white,edge_transparent,file_path,has_alpha,height,image_id,is_main,overall_near_white,product_id,sort_order,width
clean_white,1.0,1.0,1.0,0.0,p_6a1453c1990e2.jpg,False,800,56,1,0.65442,121,0,800
review_white,0.90297,0.84103,0.83934,0.0,p_6a1453c1997ae.jpg,False,800,57,0,0.45178,121,1,800
clean_white,1.0,0.98846,0.98798,0.0,p_6a1453c199d1f.jpg,False,800,58,0,0.65823,121,2,800
clean_white,1.0,1.0,1.0,0.0,p_6a1453c19a3bd.jpg,False,800,59,0,0.68066,121,3,800
clean_white,1.0,1.0,1.0,0.0,p_6a1453c19aa7e.jpg,False,800,60,0,0.62427,121,4,800
clean_white,1.0,1.0,1.0,0.0,p_6a1453c19b0cd.jpg,False,800,61,0,0.64877,121,5,800
review_white,0.90992,0.86011,0.85974,0.0,p_6a145ad5475ed.jpg,False,800,62,1,0.55069,444,0,800
clean_white,1.0,0.99401,0.9936,0.0,p_6a145ad547c34.jpg,False,800,63,0,0.68672,444,1,800
clean_white,1.0,1.0,1.0,0.0,p_6a145ad5482c2.jpg,False,800,64,0,0.62593,444,2,800
review_white,0.86844,0.80445,0.79202,0.0,p_6a145ad5488db.jpg,False,800,65,0,0.5284,444,3,800
review_white,1.0,0.84235,0.83555,0.0,p_6a145ad548fa8.jpg,False,800,66,0,0.5434,444,4,800
clean_white,1.0,0.99897,0.99882,0.0,p_6a146380ec4c8.jpg,False,800,67,1,0.62506,506,0,800
clean_white,1.0,0.97272,0.97217,0.0,p_6a146380ecaca.jpg,False,800,68,0,0.57932,506,1,800
clean_white,1.0,1.0,1.0,0.0,p_6a146380ed076.jpg,False,800,69,0,0.65893,506,2,800
clean_white,1.0,0.99886,0.99886,0.0,p_6a146380ed549.jpg,False,800,70,0,0.62067,506,3,800
clean_white,1.0,1.0,1.0,0.0,p_6a146380eda95.jpg,False,800,71,0,0.55699,506,4,800
clean_white,1.0,0.99912,0.99897,0.0,p_6a146380ee066.jpg,False,800,72,0,0.69763,506,5,800
review_white,1.0,0.99931,0.00069,0.0,p_6a1468976365d.jpg,False,188,73,1,0.44476,507,0,268
needs_background,0.0,0.00475,0.0,0.0,p_6a14689763d04.jpg,False,259,74,0,0.00187,507,1,194
review_white,0.99546,0.94637,0.01402,0.0,p_6a146897643b5.jpg,False,208,75,0,0.55054,507,2,242
clean_white,1.0,1.0,1.0,0.0,p_6a146a216fc86.jpg,False,800,76,1,0.64578,508,0,800
clean_white,1.0,1.0,1.0,0.0,p_6a146a21702ab.jpg,False,800,77,0,0.7424,508,1,800
clean_white,1.0,1.0,1.0,0.0,p_6a146a217084b.jpg,False,800,78,0,0.7424,508,2,800
clean_white,1.0,1.0,1.0,0.0,p_6a146a2170fca.jpg,False,800,79,0,0.52823,508,3,800
needs_background,0.0,0.02857,0.0129,0.0,p_6a146a68d5ba9.jpg,False,1920,80,1,0.019,509,0,1920
needs_background,0.0,0.0,0.0,0.0,p_6a146a68d6258.jpg,False,800,81,0,0.03269,509,1,800
needs_background,0.0,0.03897,0.01533,0.0,p_6a146a68d6d88.jpg,False,1920,82,0,0.02623,509,2,1920
needs_background,0.25,0.23092,0.17051,0.0,p_6a146e42f2db9.webp,False,1920,83,1,0.16629,510,0,1920
needs_background,0.0,0.0,0.0,0.0,p_6a146e42f3856.webp,False,1920,84,0,0.00568,510,1,1920
needs_background,0.25637,0.32184,0.09482,0.0,p_6a146e42f3f8e.webp,False,1920,85,0,0.23377,510,2,1920
needs_background,0.0,0.04401,0.00117,0.0,p_6a146f3409f7f.jpg,False,225,86,1,0.02163,511,0,225
review_white,1.0,0.99931,0.00069,0.0,p_6a146f340a73d.jpg,False,188,87,0,0.44476,511,1,268
review_white,0.99546,0.94637,0.01402,0.0,p_6a146f340aea1.jpg,False,208,88,0,0.55054,511,2,242
review_white,1.0,0.99931,0.00069,0.0,p_6a14709ddeed0.jpg,False,188,89,1,0.44476,512,0,268
needs_background,0.0,0.00475,0.0,0.0,p_6a14709ddf5f5.jpg,False,259,90,0,0.00187,512,1,194
review_white,0.99546,0.94637,0.01402,0.0,p_6a14709ddfaf2.jpg,False,208,91,0,0.55054,512,2,242
clean_white,1.0,1.0,1.0,0.0,p_6a1e38472b346.jpg,False,540,92,1,0.88428,513,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e38472ba4f.jpg,False,540,93,0,0.91756,513,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e38472c05b.jpg,False,540,94,0,0.97275,513,6,540
needs_background,0.25,0.23092,0.17051,0.0,p_6a1472174a2a0.webp,False,1920,95,1,0.16629,514,0,1920
needs_background,0.0,0.0,0.0,0.0,p_6a1472174a7cb.webp,False,1920,96,0,0.00568,514,1,1920
needs_background,0.25637,0.32184,0.09482,0.0,p_6a1472174ad8d.webp,False,1920,97,0,0.23377,514,2,1920
clean_white,1.0,0.99489,0.99471,0.0,p_6a1e41a24eb8b.jpg,False,800,98,1,0.67991,515,1,800
clean_white,1.0,1.0,1.0,0.0,p_6a1e41a24f0ae.jpg,False,800,99,0,0.65742,515,3,800
clean_white,1.0,1.0,1.0,0.0,p_6a1e41a24f59e.jpg,False,800,100,0,0.71068,515,6,800
clean_white,1.0,1.0,1.0,0.0,p_6a1e41a24fad2.jpg,False,800,101,0,0.68583,515,10,800
clean_white,1.0,1.0,1.0,0.0,p_6a1e41a250032.jpg,False,800,102,0,0.64463,515,15,800
clean_white,1.0,1.0,1.0,0.0,p_6a1e41a2507cb.jpg,False,800,103,0,0.64341,515,21,800
clean_white,1.0,1.0,1.0,0.0,p_6a1e33de1b6c5.jpg,False,540,104,1,0.88428,516,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e33de1bf0b.jpg,False,540,105,0,0.91756,516,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e33de1c5af.jpg,False,540,106,0,0.97275,516,6,540
needs_background,1.0,0.60294,0.60294,0.0,p_6a14745bcc646.jpg,False,800,107,1,0.25022,517,0,800
needs_background,0.0,0.0,0.0,0.0,p_6a14745bccdab.jpg,False,768,108,0,1e-05,517,1,768
review_white,0.99546,0.94637,0.01402,0.0,p_6a14745bcd411.jpg,False,208,109,0,0.55054,517,2,242
needs_background,0.0,0.0,0.0,0.0,p_6a14755434e0c.jpg,False,768,110,1,1e-05,518,0,768
needs_background,0.0,0.04401,0.00117,0.0,p_6a14755435376.jpg,False,225,111,0,0.02163,518,1,225
